Cluster,Gender,Annual Income,Price ($),Company,Model,Transmission,Color,Body Style
0,Male,615.0,14.0,Chevrolet,Malibu,Manual,Pale White,Hardtop
0,Male,520.0,17.0,Acura,RL,Manual,Pale White,SUV
2,Male,1876.0,25.6,Saturn,SW,Auto,Pale White,Passenger
0,Male,13.5,17.0,Volvo,C70,Manual,Black,Hatchback
0,Male,13.5,21.0,Mercury,Mountaineer,Manual,Pale White,SUV
0,Male,890.0,12.0,Mercedes-B,C-Class,Manual,Pale White,Hatchback
2,Male,1800.0,17.0,Mercedes-B,SLK,Manual,Pale White,Passenger
2,Male,1330.0,36.0,Toyota,Tacoma,Manual,Black,Hardtop
0,Male,393.0,17.0,Mercedes-B,C-Class,Manual,Pale White,Hatchback
1,Male,440.0,41.0,Mercedes-B,M-Class,Manual,Pale White,Hatchback
0,Female,280.0,14.0,Audi,A6,Auto,Black,SUV
2,Male,1151.0,31.1,Dodge,Intrepid,Auto,Pale White,Sedan
1,Male,1650.0,61.0,Buick,Park Avenue,Auto,Black,Hatchback
0,Male,13.5,26.0,Dodge,Viper,Manual,Black,SUV
0,Male,895.0,12.0,Toyota,Sienna,Manual,Black,Passenger
1,Female,660.0,42.0,Volvo,S40,Auto,Pale White,Sedan
0,Male,13.5,21.0,Mitsubishi,Diamante,Auto,Pale White,Hatchback
2,Male,1636.0,22.6,Cadillac,DeVille,Auto,Pale White,SUV
1,Female,1000.0,45.0,Jaguar,S-Type,Manual,Pale White,Passenger
0,Female,745.0,25.0,Mitsubishi,Eclipse,Manual,Black,SUV
1,Male,300.0,62.0,Ford,Contour,Auto,Pale White,Sedan
0,Male,1097.0,22.7,Volkswagen,Jetta,Auto,Black,Passenger
1,Female,542.0,45.0,Mitsubishi,Montero Sport,Auto,Black,SUV
2,Male,1200.0,17.0,Lincoln,Town car,Manual,Black,Hatchback
1,Male,490.0,49.0,Ford,Focus,Manual,Black,Hardtop
0,Male,410.0,15.0,Audi,A6,Manual,Black,SUV
0,Male,930.0,28.0,Acura,TL,Auto,Black,Hatchback
1,Male,480.0,46.0,Nissan,Pathfinder,Auto,Pale White,Hardtop
1,Female,1360.0,43.0,Ford,Mustang,Manual,Pale White,Hatchback
2,Male,2200.0,41.0,Oldsmobile,Cutlass,Auto,Pale White,Sedan
1,Female,1100.0,45.0,Chevrolet,Corvette,Auto,Pale White,SUV
0,Male,13.5,22.001,Chevrolet,Impala,Manual,Pale White,Hatchback
2,Male,1700.0,25.001,Volkswagen,Cabrio,Manual,Pale White,Sedan
2,Male,1908.0,12.8,Dodge,Dakota,Manual,Pale White,Sedan
0,Male,13.5,26.0,Chrysler,300M,Auto,Black,SUV
0,Male,13.5,18.0,BMW,328i,Auto,Black,Sedan
2,Male,2550.0,19.0,Oldsmobile,Bravada,Auto,Pale White,Hatchback
2,Male,1245.0,22.5,Nissan,Maxima,Manual,Pale White,Sedan
0,Male,13.5,21.001,Dodge,Ram Pickup,Manual,Pale White,Hardtop
1,Male,1115.0,46.5,Chrysler,Concorde,Auto,Pale White,Hardtop
0,Male,13.5,16.0,Chrysler,300M,Auto,Pale White,SUV
2,Male,2110.0,39.0,Volvo,V70,Auto,Black,Passenger
0,Female,13.5,19.0,Nissan,Quest,Manual,Black,SUV
0,Male,1050.0,26.0,Chrysler,LHS,Auto,Black,Hatchback
1,Male,13.5,43.0,Honda,Accord,Manual,Black,Sedan
1,Female,13.5,54.0,Nissan,Maxima,Manual,Pale White,Sedan
0,Male,320.0,22.0,Dodge,Durango,Auto,Pale White,SUV
0,Male,13.5,16.001,Lexus,ES300,Auto,Black,SUV
0,Female,760.0,16.001,BMW,328i,Auto,Black,Sedan
2,Male,1390.0,12.0,Toyota,Land Cruiser,Auto,Pale White,SUV
1,Male,659.0,38.0,Mercedes-B,SL-Class,Manual,Black,Hardtop
1,Male,1330.0,42.0,Ford,Explorer,Auto,Pale White,Hatchback
0,Male,13.5,21.0,Nissan,Pathfinder,Auto,Pale White,Hatchback
1,Female,13.5,49.0,Volvo,C70,Auto,Black,Hatchback
2,Male,1362.0,21.2,Chevrolet,Prizm,Manual,Pale White,Hardtop
1,Male,480.0,71.0,Mercury,Grand Marquis,Manual,Pale White,SUV
0,Female,365.0,17.0,Chevrolet,Camaro,Auto,Pale White,Sedan
1,Female,481.0,57.001,Subaru,Outback,Auto,Pale White,SUV
1,Male,700.0,62.001,Buick,Park Avenue,Auto,Pale White,Hatchback
1,Male,1350.0,69.001,Ford,Taurus,Manual,Black,SUV
0,Male,750.0,20.001,Chevrolet,Cavalier,Manual,Pale White,SUV
0,Male,451.0,27.0,Audi,A4,Auto,Black,Hardtop
1,Female,650.0,49.0,Ford,Focus,Manual,Black,Hardtop
1,Male,700.0,49.0,Mitsubishi,Diamante,Manual,Black,Hatchback
0,Female,13.5,12.0,Lexus,GS400,Auto,Black,Hatchback
2,Female,1220.0,25.0,Mercedes-B,M-Class,Manual,Pale White,Hatchback
1,Male,1300.0,42.0,Chrysler,Concorde,Auto,Pale White,Hatchback
0,Male,470.0,19.0,Chrysler,Sebring Coupe,Auto,Pale White,Sedan
2,Female,1167.5,26.75,Chevrolet,Monte Carlo,Manual,Pale White,Hatchback
2,Male,3000.0,31.0,Cadillac,Eldorado,Auto,Pale White,Passenger
1,Male,1900.0,49.0,Saturn,LW,Manual,Pale White,Hatchback
2,Female,1690.0,15.0,Hyundai,Sonata,Manual,Black,SUV
2,Male,2800.0,26.0,Mercury,Sable,Auto,Pale White,Sedan
0,Male,642.0,17.0,Mercedes-B,SL-Class,Manual,Pale White,Hardtop
0,Female,705.0,24.0,Volvo,C70,Manual,Pale White,Hatchback
0,Male,670.0,19.0,Chevrolet,Metro,Auto,Pale White,Passenger
0,Male,13.5,20.0,Jaguar,S-Type,Manual,Pale White,Passenger
2,Female,1985.0,28.501,Acura,TL,Auto,Black,Hatchback
2,Male,1275.0,15.5,BMW,323i,Auto,Pale White,Hatchback
0,Male,13.5,20.0,Plymouth,Voyager,Manual,Pale White,Passenger
2,Male,1650.0,29.0,Nissan,Maxima,Manual,Pale White,Sedan
0,Male,520.5,12.5,Chrysler,Cirrus,Auto,Pale White,Passenger
0,Female,500.0,16.001,Mercury,Grand Marquis,Manual,Pale White,SUV
2,Male,1172.5,27.25,Lexus,ES300,Auto,Pale White,SUV
0,Male,441.0,11.0,Dodge,Intrepid,Manual,Black,Sedan
2,Male,1310.0,22.001,Nissan,Maxima,Manual,Pale White,Sedan
0,Male,13.5,22.0,Dodge,Avenger,Auto,Pale White,Passenger
2,Male,1200.0,22.0,Chevrolet,Corvette,Manual,Pale White,SUV
2,Male,1680.0,18.0,Acura,RL,Manual,Black,SUV
2,Male,1340.0,27.0,Honda,Odyssey,Manual,Pale White,Passenger
0,Female,901.0,25.0,Oldsmobile,Intrigue,Manual,Pale White,SUV
0,Female,849.5,26.5,Acura,RL,Manual,Pale White,SUV
1,Male,13.5,69.0,Ford,Taurus,Manual,Black,SUV
0,Female,1071.5,14.15,Oldsmobile,Silhouette,Manual,Pale White,Sedan
2,Male,1740.0,28.0,Saab,5-Sep,Manual,Pale White,Hatchback
1,Male,13.5,43.0,Honda,Civic,Manual,Black,Hatchback
2,Male,1700.0,25.0,BMW,528i,Manual,Pale White,SUV
0,Male,1100.0,12.0,Oldsmobile,Silhouette,Auto,Pale White,Sedan
1,Male,13.5,39.0,Lexus,LS400,Auto,Black,Sedan
1,Male,2155.0,60.5,Cadillac,Eldorado,Auto,Black,Passenger
0,Male,13.5,16.0,Volkswagen,Jetta,Auto,Pale White,Passenger
0,Male,13.5,19.0,Pontiac,Bonneville,Auto,Pale White,Hatchback
1,Male,661.0,44.0,Chevrolet,Monte Carlo,Manual,Black,Hatchback
1,Female,13.5,71.0,Oldsmobile,Aurora,Manual,Pale White,Passenger
0,Male,13.5,25.0,Ford,Mustang,Manual,Pale White,Hatchback
2,Male,2750.0,18.0,Mitsubishi,Diamante,Auto,Black,Hatchback
0,Male,13.5,22.0,Ford,Expedition,Manual,Pale White,SUV
1,Male,13.5,41.0,Mercedes-B,M-Class,Manual,Pale White,Hardtop
1,Female,13.5,49.0,Ford,Focus,Manual,Black,Hardtop
0,Male,950.0,19.0,Volkswagen,Jetta,Auto,Pale White,Passenger
0,Female,715.0,21.0,BMW,528i,Manual,Black,SUV
0,Female,13.5,22.0,Subaru,Forester,Auto,Black,Hardtop
0,Female,847.0,16.0,Plymouth,Breeze,Manual,Pale White,SUV
1,Female,13.5,45.0,Volkswagen,Beetle,Auto,Pale White,SUV
0,Male,1176.5,11.65,Dodge,Intrepid,Manual,Black,Sedan
0,Male,955.0,26.0,Hyundai,Elantra,Manual,Pale White,Sedan
1,Male,800.0,36.0,Saturn,SW,Manual,Black,Passenger
1,Male,13.5,82.0,Lincoln,Continental,Manual,Pale White,Passenger
0,Female,13.5,24.0,Chevrolet,Camaro,Auto,Pale White,Sedan
0,Male,626.8,11.8,Nissan,Pathfinder,Manual,Pale White,Hardtop
2,Male,2115.0,27.5,Toyota,RAV4,Auto,Pale White,Hatchback
2,Male,2810.0,36.0,Mercury,Villager,Auto,Pale White,Passenger
0,Male,13.5,20.0,Jaguar,S-Type,Manual,Pale White,Passenger
0,Male,13.5,17.0,Mercedes-B,SLK,Manual,Pale White,Passenger
2,Male,1589.0,16.9,Volkswagen,Jetta,Auto,Pale White,Passenger
1,Male,1385.0,46.5,Buick,Regal,Auto,Pale White,Passenger
2,Male,2000.0,14.0,Mercedes-B,C-Class,Auto,Black,Hatchback
0,Male,951.0,16.0,Toyota,Sienna,Manual,Black,Passenger
2,Male,1390.0,22.0,Volvo,S70,Manual,Black,Hardtop
2,Male,2320.0,20.0,Nissan,Altima,Auto,Pale White,Hatchback
2,Female,2752.0,14.2,Toyota,Celica,Manual,Pale White,SUV
1,Male,655.0,51.0,Saturn,LS,Auto,Pale White,Sedan
0,Male,890.0,19.0,Mitsubishi,Diamante,Manual,Pale White,Hatchback
2,Male,1330.0,31.0,Lexus,GS400,Auto,Pale White,Hatchback
0,Male,13.5,32.0,Porsche,Carrera Cabrio,Auto,Pale White,Passenger
0,Male,900.0,31.0,Dodge,Ram Van,Auto,Pale White,Hatchback
0,Male,570.0,14.0,Oldsmobile,Silhouette,Manual,Pale White,Sedan
0,Male,715.0,25.0,Audi,A6,Manual,Black,SUV
1,Female,630.0,46.0,Oldsmobile,Cutlass,Auto,Pale White,Sedan
1,Female,700.5,39.5,Mercedes-B,S-Class,Auto,Black,SUV
2,Male,2130.0,39.0,Mitsubishi,3000GT,Auto,Black,Sedan
0,Male,13.5,31.0,BMW,528i,Auto,Black,SUV
2,Male,2950.0,41.0,Chevrolet,Malibu,Manual,Pale White,Hatchback
2,Male,2150.0,22.0,Chrysler,300M,Auto,Pale White,SUV
2,Female,1700.0,22.0,Ford,Mustang,Manual,Black,Hatchback
1,Male,13.5,41.0,Dodge,Viper,Auto,Pale White,SUV
2,Male,1540.0,21.0,Jaguar,S-Type,Manual,Pale White,Passenger
2,Male,1300.0,26.0,Mercedes-B,SLK,Manual,Black,Passenger
0,Male,960.0,31.0,Mercedes-B,E-Class,Auto,Pale White,Sedan
0,Male,13.5,19.0,Pontiac,Grand Am,Auto,Pale White,SUV
2,Male,1810.0,13.0,Saturn,LW,Manual,Pale White,Hatchback
2,Male,1130.0,33.0,Saturn,SC,Auto,Black,Hardtop
1,Male,1090.0,61.0,Mercury,Sable,Manual,Pale White,Sedan
0,Male,500.0,21.0,Toyota,Land Cruiser,Auto,Black,SUV
2,Female,1700.0,16.0,Nissan,Maxima,Manual,Pale White,Sedan
0,Male,860.0,15.0,Oldsmobile,Bravada,Auto,Pale White,Hatchback
0,Male,13.5,27.0,Volkswagen,Passat,Manual,Pale White,Hatchback
2,Male,2035.0,13.5,Volkswagen,Passat,Auto,Pale White,Hatchback
2,Male,1372.5,9.25,Nissan,Xterra,Auto,Black,Passenger
2,Male,1800.0,31.0,Ford,Mustang,Auto,Pale White,Hatchback
2,Male,1250.0,32.0,Volkswagen,Passat,Auto,Pale White,Hatchback
2,Male,1175.0,29.5,Volvo,S40,Auto,Pale White,Sedan
0,Male,1100.0,14.0,Mercury,Villager,Manual,Pale White,Passenger
2,Male,1315.0,18.501,Nissan,Frontier,Auto,Pale White,Hatchback
0,Female,480.0,17.001,Acura,RL,Manual,Pale White,SUV
0,Female,423.5,12.5,Mitsubishi,Montero Sport,Manual,Pale White,SUV
0,Female,13.5,21.0,BMW,528i,Manual,Black,SUV
1,Male,13.5,62.0,BMW,528i,Auto,Pale White,SUV
0,Male,653.0,11.0,Ford,Crown Victoria,Auto,Black,Passenger
0,Male,13.5,20.0,Nissan,Frontier,Manual,Pale White,Hatchback
2,Male,2862.0,21.2,Honda,Accord,Auto,Pale White,Sedan
2,Male,2180.0,29.0,Toyota,Camry,Manual,Black,Hatchback
0,Male,13.5,17.0,Cadillac,Eldorado,Auto,Pale White,Passenger
2,Male,1500.0,27.0,Lexus,ES300,Auto,Pale White,Hatchback
2,Male,1190.0,36.0,Volvo,S40,Manual,Black,Sedan
0,Female,920.0,19.0,Lincoln,Navigator,Auto,Black,Sedan
0,Male,320.0,18.0,Nissan,Frontier,Auto,Pale White,Hatchback
0,Male,690.0,15.0,Chevrolet,Prizm,Auto,Pale White,Hardtop
0,Male,13.5,24.0,Toyota,Tacoma,Manual,Pale White,Hardtop
0,Male,905.0,16.0,Nissan,Sentra,Auto,Black,Passenger
0,Male,13.5,29.0,Ford,Crown Victoria,Auto,Pale White,Passenger
0,Female,1180.0,19.0,Pontiac,Bonneville,Auto,Pale White,Hatchback
0,Male,800.0,22.0,Mercedes-B,CL500,Manual,Black,SUV
2,Male,1225.0,23.5,Dodge,Viper,Auto,Pale White,SUV
2,Female,1200.0,36.0,Mitsubishi,Galant,Auto,Pale White,Passenger
0,Male,13.5,19.0,Pontiac,Bonneville,Auto,Pale White,Hatchback
1,Male,1350.0,53.0,Toyota,Tacoma,Auto,Pale White,Hardtop
0,Male,426.0,28.0,Cadillac,Escalade,Auto,Black,Sedan
1,Male,1447.5,60.75,Oldsmobile,Silhouette,Auto,Black,Sedan
1,Male,770.0,42.0,Chevrolet,Prizm,Auto,Pale White,Hardtop
2,Male,1610.0,31.0,Cadillac,Eldorado,Manual,Pale White,Passenger
1,Female,1540.0,62.0,Ford,Contour,Auto,Pale White,Sedan
1,Male,1285.0,39.5,Mercedes-B,S-Class,Auto,Black,SUV
2,Male,1400.0,24.001,Toyota,Tacoma,Manual,Pale White,Hardtop
0,Male,1200.0,15.0,Mercedes-B,C-Class,Auto,Pale White,Hatchback
2,Male,1720.0,19.0,Nissan,Quest,Manual,Black,SUV
0,Female,600.0,35.0,Volkswagen,Golf,Auto,Pale White,Hardtop
0,Male,457.0,21.0,Hyundai,Sonata,Manual,Pale White,SUV
2,Male,2450.0,20.0,Nissan,Altima,Auto,Pale White,Hatchback
2,Male,1975.0,18.5,Ford,Ranger,Manual,Black,Hatchback
1,Female,860.0,45.0,Chevrolet,Corvette,Auto,Pale White,SUV
0,Male,944.0,12.0,Oldsmobile,Silhouette,Auto,Pale White,Sedan
0,Male,1135.0,21.5,Chevrolet,Prizm,Manual,Pale White,SUV
2,Female,2210.0,17.0,Volvo,S40,Manual,Pale White,Sedan
1,Male,316.0,46.0,Chevrolet,Corvette,Auto,Pale White,SUV
1,Male,1151.0,41.1,Toyota,Corolla,Auto,Pale White,Passenger
2,Male,1385.0,22.5,Toyota,RAV4,Manual,Pale White,Hatchback
0,Female,700.0,9.0,Mercury,Grand Marquis,Auto,Black,SUV
2,Male,1542.0,20.2,Chevrolet,Cavalier,Manual,Pale White,SUV
1,Female,962.0,59.0,Nissan,Maxima,Manual,Pale White,Sedan
2,Male,1290.0,22.0,Volvo,S70,Manual,Black,SUV
1,Male,2250.0,57.0,Subaru,Outback,Auto,Pale White,SUV
2,Female,2155.0,25.5,Chevrolet,Corvette,Auto,Pale White,SUV
0,Male,13.5,18.0,Acura,RL,Manual,Black,SUV
0,Female,13.5,27.0,Honda,Odyssey,Manual,Pale White,Passenger
0,Female,807.0,22.0,Toyota,RAV4,Manual,Pale White,Hatchback
1,Female,825.0,82.0,Toyota,Tacoma,Manual,Pale White,Hatchback
0,Female,720.0,15.0,Plymouth,Prowler,Auto,Pale White,Hatchback
0,Female,850.0,31.0,Toyota,Camry,Auto,Pale White,Hatchback
0,Male,1130.0,13.0,Volkswagen,Passat,Auto,Pale White,Hatchback
0,Male,13.5,17.0,Volkswagen,Cabrio,Auto,Pale White,Sedan
1,Male,1370.0,46.0,Chrysler,Sebring Coupe,Auto,Pale White,Sedan
2,Male,1311.0,19.1,Ford,Windstar,Auto,Pale White,Sedan
2,Female,1280.0,10.0,Dodge,Durango,Auto,Pale White,SUV
2,Male,2000.0,42.0,Lincoln,Continental,Manual,Black,Passenger
0,Female,13.5,18.0,Mitsubishi,Diamante,Auto,Black,Hatchback
0,Male,650.0,25.0,Toyota,Celica,Auto,Pale White,SUV
2,Male,1290.0,22.0,Volkswagen,Jetta,Auto,Black,Passenger
0,Male,13.5,25.0,Volkswagen,GTI,Manual,Black,SUV
0,Female,911.0,23.0,Buick,Park Avenue,Manual,Pale White,Hatchback
2,Male,1150.0,33.0,Volkswagen,Jetta,Auto,Pale White,Passenger
0,Male,655.0,25.0,Oldsmobile,Silhouette,Manual,Pale White,Sedan
1,Male,470.0,43.0,Honda,Accord,Manual,Black,Sedan
2,Male,1180.0,21.001,BMW,328i,Manual,Pale White,Sedan
0,Male,1195.0,11.501,Pontiac,Bonneville,Manual,Pale White,Hatchback
2,Female,1420.0,32.0,Volkswagen,Passat,Auto,Pale White,Hatchback
0,Male,13.5,20.0,Hyundai,Sonata,Manual,Black,SUV
0,Male,13.5,9.0,Volkswagen,Passat,Auto,Black,Hatchback
0,Male,916.0,29.0,Ford,Crown Victoria,Auto,Pale White,Passenger
0,Female,592.0,17.0,Mercedes-B,C-Class,Manual,Pale White,Hatchback
0,Male,750.0,27.0,Honda,Passport,Manual,Pale White,Hatchback
1,Male,1900.0,54.0,Honda,Odyssey,Manual,Pale White,Passenger
2,Female,1410.0,33.0,Mercury,Cougar,Auto,Black,Hatchback
0,Male,1125.0,27.5,Honda,Passport,Manual,Pale White,Hardtop
0,Female,580.0,14.0,Toyota,Celica,Manual,Pale White,SUV
1,Male,710.0,41.0,Chevrolet,Camaro,Auto,Black,Sedan
0,Female,335.0,22.0,Ford,Taurus,Manual,Pale White,SUV
0,Female,13.5,24.0,Ford,Focus,Manual,Pale White,SUV
0,Male,1012.5,24.25,Porsche,Boxter,Manual,Pale White,SUV
1,Female,970.0,37.0,Oldsmobile,Intrigue,Manual,Pale White,SUV
1,Female,1495.0,54.5,Lexus,LX470,Manual,Pale White,SUV
1,Male,13.5,46.0,Chrysler,Sebring Coupe,Auto,Pale White,Sedan
0,Male,13.5,37.0,Dodge,Stratus,Manual,Pale White,Hatchback
0,Female,922.0,26.0,Dodge,Viper,Manual,Black,SUV
0,Female,1130.0,21.0,Nissan,Pathfinder,Auto,Pale White,Hatchback
1,Female,13.5,41.0,Toyota,Corolla,Auto,Pale White,Passenger
0,Male,1090.0,12.0,Nissan,Quest,Manual,Black,SUV
0,Male,630.1,25.1,Dodge,Stratus,Manual,Pale White,Hatchback
2,Male,1350.0,34.0,Toyota,Camry,Manual,Black,Hatchback
2,Male,1330.0,34.0,Oldsmobile,Aurora,Manual,Pale White,Passenger
1,Female,591.0,39.0,Mitsubishi,Montero Sport,Auto,Pale White,Hardtop
0,Male,13.5,33.0,Mercury,Cougar,Auto,Black,Hatchback
0,Male,1030.0,33.0,Lincoln,Navigator,Manual,Pale White,Sedan
0,Female,13.5,18.0,Acura,RL,Manual,Black,SUV
0,Female,927.0,21.0,Honda,Accord,Auto,Pale White,Sedan
1,Male,840.0,39.0,Mitsubishi,Montero Sport,Auto,Pale White,SUV
0,Male,730.0,25.0,Mercedes-B,M-Class,Manual,Pale White,SUV
1,Male,770.0,46.0,Nissan,Pathfinder,Auto,Pale White,SUV
0,Female,1125.0,13.5,Chevrolet,Metro,Manual,Pale White,Passenger
0,Female,995.0,21.0,Dodge,Dakota,Auto,Pale White,Sedan
0,Male,13.5,13.0,Hyundai,Sonata,Manual,Pale White,SUV
1,Female,13.5,43.0,Ford,Taurus,Manual,Black,SUV
0,Male,1100.0,22.0,Toyota,RAV4,Manual,Pale White,Hatchback
0,Male,13.5,26.0,Porsche,Boxter,Auto,Black,SUV
0,Female,13.5,12.0,Honda,CR-V,Auto,Pale White,SUV
0,Male,910.0,22.0,Toyota,Corolla,Manual,Pale White,Passenger
2,Male,1859.0,21.9,Nissan,Pathfinder,Auto,Pale White,Hatchback
1,Male,13.5,45.0,Volkswagen,Beetle,Auto,Pale White,Hatchback
1,Male,1200.0,71.0,Plymouth,Prowler,Manual,Pale White,Hatchback
0,Male,13.5,13.0,Saturn,LW,Manual,Pale White,Hatchback
2,Male,1660.0,14.0,Mercury,Villager,Manual,Pale White,Passenger
0,Male,13.5,13.0,Chevrolet,Metro,Manual,Pale White,Passenger
0,Female,13.5,28.0,Saab,5-Sep,Manual,Pale White,Hatchback
0,Male,905.0,14.0,Mercedes-B,SLK230,Manual,Pale White,Hatchback
0,Male,13.5,31.0,Nissan,Xterra,Manual,Pale White,Passenger
2,Male,1152.0,29.2,Ford,Crown Victoria,Auto,Pale White,Passenger
1,Male,550.0,42.0,Chevrolet,Lumina,Manual,Black,Passenger
0,Female,13.5,18.0,Ford,Ranger,Manual,Black,Hardtop
0,Male,936.0,13.0,Audi,A6,Manual,Pale White,SUV
1,Female,580.0,85.0,Cadillac,Eldorado,Manual,Black,Passenger
2,Male,1900.0,43.0,Pontiac,Sunfire,Manual,Pale White,Sedan
2,Male,1605.0,43.5,Buick,Regal,Manual,Pale White,Passenger
0,Male,13.5,36.0,Toyota,Tacoma,Manual,Black,SUV
0,Male,603.0,16.0,Infiniti,I30,Manual,Pale White,SUV
0,Male,700.0,31.0,Ford,Windstar,Auto,Pale White,Sedan
0,Male,600.0,16.0,Dodge,Avenger,Auto,Black,Passenger
0,Male,500.0,14.0,Saturn,LS,Manual,Pale White,Sedan
0,Female,420.0,24.0,Dodge,Durango,Auto,Black,SUV
1,Female,500.0,39.0,Dodge,Ram Pickup,Auto,Pale White,SUV
0,Female,1035.0,14.5,Acura,TL,Manual,Pale White,Hatchback
0,Female,960.0,20.0,Volvo,S70,Auto,Pale White,SUV
2,Male,2345.0,16.5,Nissan,Pathfinder,Manual,Pale White,Hardtop
0,Male,512.0,31.0,Volkswagen,Passat,Auto,Pale White,Hatchback
0,Male,820.0,21.0,BMW,528i,Manual,Black,SUV
0,Male,1050.0,21.0,Mitsubishi,Diamante,Auto,Pale White,Hatchback
1,Male,1326.0,85.6,Toyota,RAV4,Manual,Black,Hatchback
2,Female,1800.0,23.0,Dodge,Caravan,Auto,Black,Hardtop
0,Male,730.0,21.0,BMW,323i,Manual,Pale White,Hatchback
0,Male,880.0,24.0,Mitsubishi,3000GT,Manual,Pale White,Sedan
0,Male,925.0,22.0,Dodge,Ram Wagon,Auto,Black,Passenger
0,Male,480.0,25.0,Volkswagen,GTI,Manual,Black,SUV
2,Female,1835.0,22.5,Plymouth,Neon,Manual,Pale White,SUV
0,Male,13.5,19.0,Jeep,Wrangler,Auto,Pale White,Hatchback
0,Female,13.5,27.0,Plymouth,Neon,Auto,Pale White,SUV
0,Male,13.5,18.0,Lexus,LS400,Auto,Pale White,Sedan
1,Female,13.5,75.0,Plymouth,Voyager,Manual,Black,Passenger
1,Male,1635.0,71.5,Plymouth,Prowler,Manual,Pale White,Hatchback
1,Male,1705.0,61.5,Saturn,SC,Manual,Pale White,Hatchback
0,Male,1005.0,21.5,Mitsubishi,Diamante,Auto,Pale White,Hatchback
